Species	PUL ID	Name	Modularity	Overlap IDs	Overlap Names	Length	Postion_GH154	Count_GH154	Postion_unk	Count_unk	Postion_GH	Count_GH
Arachidicoccus sp. BS20	#23515	Predicted PUL 37	HTCS GH43_17 SusC SusD GH16_3 GH154 GH43_24 GH51_1 GH2 GH35			10	5	1		0	1, 4, 5, 6, 7, 8, 9	7
Arcticibacter pallidicorallinus CGMCC 1.9313	#32270	Predicted PUL 44	SusC SusD unk GH51_1 GH51_2 GH43_5 GH97 PL42 GH154 GH43_34|GH105			10	8	1	2	1	3, 4, 5, 6, 8, 9	6
Bacteroides caccae ATCC 43185	#467	Predicted PUL 1	HTCS unk SusC SusD unk unk GH2 GH105 SusC SusD GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146 GH182			17	10	1	1, 4, 5, 11	4	6, 7, 10, 13, 14, 15, 16	7
Bacteroides caccae ATCC 43185	#481	Predicted PUL 15	GH154 GH88 unk GH95 HTCS GH29 unk unk SusD SusC SusD SusC unk GH29			14	0	1	2, 6, 7, 12	4	0, 1, 3, 5, 13	5
Bacteroides caccae ATCC 43185	#487	Predicted PUL 21	GH154 GH88 SusC SusD Pept_MA Pept_MA PL35 GH109 HTCS			9	0	1		0	0, 1, 7	3
Bacteroides caccae ATCC 43185	#497	Predicted PUL 31	unk SusD SusC unk GH154 GH154 GH88 HTCS			8	4, 5	2	0, 3	2	4, 5, 6	3
Bacteroides caccae ATCC 43185	#518	Predicted PUL 52	GH35|CBM32 GH43_19 GH51_2 GH97 GH43_34 HTCS SusC SusD SusC SusD unk GH16_3 GH16_3|GH43_24 GH154 GH43_24 PL42 GH105			17	13	1	10	1	0, 1, 2, 3, 4, 11, 12, 13, 14, 16	10
Bacteroides caccae ATCC 43185 (new assembly)	#29619	Predicted PUL 15	GH182 GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 SusD SusC GH105 GH2 unk unk SusD SusC HTCS			16	6	1	5, 11, 12	3	0, 1, 2, 3, 6, 9, 10	7
Bacteroides caccae ATCC 43185 (new assembly)	#29623	Predicted PUL 19	GH154 GH88 GH95 HTCS GH29 unk unk SusD SusC SusD SusC unk GH29			13	0	1	5, 6, 11	3	0, 1, 2, 4, 12	5
Bacteroides caecimuris I48	#23544	Predicted PUL 3	GH35|CBM32 GH43_19 GH51_2 GH97 unk HTCS SusC SusD SusC SusD unk GH16_3 GH16_3|GH43_24 GH154 PL42 GH105			16	13	1	4, 10	2	0, 1, 2, 3, 11, 12, 13, 15	8
Bacteroides cellulosilyticus BFG-250	#56044	Predicted PUL 1	GH43_24|GH35|CBM32 GH115 SusD SusC HTCS GH115 CE12 PL27 GH43_24 GH28 GH51_4 CBM35 SusD SusC HTCS GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC unk GH128 HTCS unk GH43_24|GH16_3 GH16_3 CBM32 SusD SusC SusD SusC unk HTCS GH154 unk unk unk Pept_MA SusD SusC SusC ECF-σ unk Anti-σ			51	23, 40	2	27, 30, 38, 41, 42, 43, 49	7	0, 1, 5, 8, 9, 10, 15, 16, 17, 18, 19, 20, 21, 23, 24, 28, 31, 32, 40	19
Bacteroides cellulosilyticus BFG-250	#56047	Predicted PUL 4	GH2 unk SusD SusC GH154 unk HTCS GH10|CBM48|CE			8	4	1	1, 5	2	0, 4, 7	3
Bacteroides cellulosilyticus BFG-371	#65744	Predicted PUL 2	GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 unk GH43_24 SusD SusC HTCS GH43_24|GH16_3 GH16_3 CBM32 SusD SusC SusD SusC unk HTCS unk GH154 unk unk SusD SusC unk unk unk unk Pept_MA SusD SusC ECF-σ unk Anti-σ			38	23	1	8, 20, 22, 24, 25, 28, 29, 30, 31, 36	10	0, 1, 2, 3, 4, 5, 6, 9, 13, 14, 23	11
Bacteroides cellulosilyticus BFG-371	#65747	Predicted PUL 5	unk SusD SusC GH154 unk HTCS unk GH10|CBM48|CE			8	3	1	0, 4, 6	3	3, 7	2
Bacteroides cellulosilyticus CL02T12C19	#16559	Predicted PUL 63	Anti-σ unk ECF-σ SusC SusD Pept_MA unk unk unk SusC SusD unk unk GH154			14	13	1	1, 6, 7, 8, 11, 12	6	13	1
Bacteroides cellulosilyticus CL02T12C19	#16560	Predicted PUL 64	HTCS unk SusC SusD SusC SusD unk GH16_3 GH43_24|GH16_3 HTCS SusC SusD GH43_24 GH154 PL42 GH105 GH43_19|GH43_34 GH97|GH43_19 GH51_2 GH51_2 GH2 GH43_17			22	13	1	1, 6	2	7, 8, 12, 13, 15, 16, 17, 18, 19, 20, 21	11
Bacteroides cellulosilyticus CL06T03C01	#50890	Predicted PUL 57	Anti-σ unk ECF-σ SusC SusD Pept_MA unk unk unk SusC SusD unk unk GH154 HTCS unk SusC SusD SusC SusD CBM32 GH16_3 unk GH43_24|GH16_3 HTCS SusC SusD GH43_24 GH154 PL42 GH105 GH43_19|GH43_34 GH97|GH43_19 GH51_2 GH51_2 GH2 GH43_17			37	13, 28	2	1, 6, 7, 8, 11, 12, 15, 22	8	13, 21, 23, 27, 28, 30, 31, 32, 33, 34, 35, 36	12
Bacteroides cellulosilyticus CL09T06C25	#56834	Predicted PUL 46	GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC HTCS GH43_24|GH16_3 unk unk GH16_3 CBM32 SusD SusC SusD SusC unk HTCS GH154 unk unk SusD SusC unk unk unk Pept_MA SusD SusC ECF-σ unk Anti-σ			38	8, 24	2	14, 15, 22, 25, 26, 29, 30, 31, 36	9	0, 1, 2, 3, 4, 5, 6, 8, 9, 13, 16, 24	12
Bacteroides cellulosilyticus DSM 14838	#110	Predicted PUL 8	SusC SusD Pept_MA unk unk unk SusC SusD unk unk unk GH154 unk HTCS			14	11	1	3, 4, 5, 8, 9, 10, 12	7	11	1
Bacteroides cellulosilyticus DSM 14838	#113	Predicted PUL 11	GH128 unk SusC SusD GH43_24 GH154 PL42 GH105 GH43_19|GH43_34 GH97|GH43_19 GH51_2 GH51_2 GH2 GH43_17			14	5	1	1	1	0, 4, 5, 7, 8, 9, 10, 11, 12, 13	10
Bacteroides cellulosilyticus PL	#70544	Predicted PUL 2	GH43_17 GH2 GH51_2 unk GH51_2 GH97 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC unk GH128 HTCS GH43_24|GH16_3 GH16_3 CBM32 SusD SusC SusD SusC unk HTCS unk GH154 unk unk SusD SusC unk unk unk Pept_MA SusD SusC ECF-σ			38	9, 26	2	3, 13, 23, 25, 27, 28, 31, 32, 33	9	0, 1, 2, 4, 5, 6, 7, 9, 10, 14, 16, 17, 26	13
Bacteroides cellulosilyticus WH2	#21556	Predicted PUL 17	GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC HTCS GH43_24|GH16_3 GH16_3 unk SusD SusC SusD SusC unk HTCS GH154 unk unk SusD SusC unk unk Pept_MA SusD SusC unk ECF-σ unk Anti-σ			36	8, 22	2	15, 20, 23, 24, 27, 28, 32, 34	8	0, 1, 2, 3, 4, 5, 6, 8, 9, 13, 14, 22	12
Bacteroides cellulosilyticus WH2	#21559	Predicted PUL 20	GH2 unk unk SusD SusC GH154 unk HTCS GH10|CBM48|CE			9	5	1	1, 2, 6	3	0, 5, 8	3
Bacteroides cellulosilyticus WH2 (new assembly)	#28220	Predicted PUL 17	GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC HTCS GH43_24|GH16_3 GH16_3 unk SusD SusC SusD SusC unk HTCS GH154 unk unk SusD SusC unk unk unk Pept_MA SusD SusC ECF-σ unk Anti-σ	#28108, #28109, #28110, #28111, #28112	Lite 18, Lite 19, Lite 20, Lite 21, Lite 22	36	8, 22	2	15, 20, 23, 24, 27, 28, 29, 34	8	0, 1, 2, 3, 4, 5, 6, 8, 9, 13, 14, 22	12
Bacteroides cellulosilyticus WH2 (new assembly)	#28223	Predicted PUL 20	GH2 unk unk SusD SusC GH154 unk HTCS GH10|CBM48|CE	#28115	Lite 25	9	5	1	1, 2, 6	3	0, 5, 8	3
Bacteroides clarus An189	#35115	Predicted PUL 7	GH105 GH154 GH154 Sulf_1 GH43_28 Sulf_1 GH88|GH154 CE15 GH2|CBM GH GH50 unk SusD SusC CBM|CBM|CBM96 CE20|CE6 GH2 HTCS unk SusD SusC SusR			22	1, 2, 6	3	11, 18	2	0, 1, 2, 4, 6, 8, 9, 10, 16	9
Bacteroides clarus An43	#35070	Predicted PUL 10	SusR SusC SusD unk HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH GH2|CBM CE15 GH88|GH154 Sulf_1 GH43_28 Sulf_1 GH154 GH154 GH105			22	15, 19, 20	3	3, 10	2	5, 11, 12, 13, 15, 17, 19, 20, 21	9
Bacteroides clarus DSM 22519	#55358	Predicted PUL 23	SusR SusC SusD unk HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH GH2|CBM CE15 GH88|GH154 Sulf_1 GH43_28 Sulf_1 GH154 GH154 GH105			22	15, 19, 20	3	3, 10	2	5, 11, 12, 13, 15, 17, 19, 20, 21	9
Bacteroides clarus YIT 12056	#4017	Predicted PUL 22	SusR SusC SusD unk HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH GH2|CBM CE15 unk GH88|GH154 Sulf_1 GH43_28 Sulf_1 GH154 GH154 GH105			23	16, 20, 21	3	3, 10, 15	3	5, 11, 12, 13, 16, 18, 20, 21, 22	9
Bacteroides eggerthii 1_2_48FAA	#612	Predicted PUL 15	SusR SusC SusD unk HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH GH2|CBM GH88|GH154 Sulf_1 GH43_28 Sulf_1 GH154 GH154 GH105			21	14, 18, 19	3	3, 10	2	5, 11, 12, 13, 14, 16, 18, 19, 20	9
