Species	PUL ID	Name	Modularity	Overlap IDs	Overlap Names
Bacteroides caccae BFG-104	#66184	Predicted PUL 25	SusC SusD unk unk GH2 GH105 GH105 SusC SusD GH154 unk Sulf_1 GH88 GH43_26|GH106 unk GH182		
Bacteroides caccae BFG-104	#66200	Predicted PUL 41	unk unk SusD SusC unk GH154 GH154 GH88 HTCS		
Bacteroides caccae BFG-474	#67554	Predicted PUL 15	GH182 GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 SusD SusC GH105 GH105 GH2 unk unk SusD SusC HTCS		
Bacteroides caccae BFG-474	#67562	Predicted PUL 23	GH154 GH88 GH95 HTCS unk GH29 PL unk SusD SusC SusD SusC unk GH29		
Bacteroides caccae BFG-474	#67568	Predicted PUL 29	GH154 GH88 SusC SusD Pept_MA Pept_MA unk unk PL35 GH109 HTCS unk GH3		
Bacteroides caccae BFG-474	#67575	Predicted PUL 36	GH35|CBM32 GH43_19 GH51_2 GH97 GH43_34 HTCS SusC SusD SusC SusD CBM32 CBM32 GH16_3 GH16_3|GH43_24 GH154 GH43_24 PL42 GH105		
Bacteroides caccae BFG-474	#67582	Predicted PUL 43	unk SusD SusC unk GH154 GH88 HTCS		
Bacteroides caccae CL03T12C61	#16443	Predicted PUL 15	GH182 GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 SusD SusC GH105 GH2 unk unk SusD SusC HTCS		
Bacteroides caccae CL03T12C61	#16449	Predicted PUL 21	GH154 GH88 GH95 HTCS GH29 PL unk SusD SusC SusD SusC unk GH29		
Bacteroides caccae CL03T12C61	#16455	Predicted PUL 27	GH154 GH88 SusC SusD Pept_MA Pept_MA PL35 GH109 HTCS		
Bacteroides caccae CL03T12C61	#16464	Predicted PUL 36	GH35|CBM32 GH43_19 GH51_2 GH97 GH43_34 HTCS SusC SusD SusC SusD CBM32 GH16_3 GH16_3|GH43_24 GH154 GH43_24 PL42 GH105		
Bacteroides caccae CL03T12C61	#16473	Predicted PUL 45	unk SusD SusC unk GH154 GH88 HTCS		
Bacteroides caccae FDAARGOS_1097	#48448	Predicted PUL 3	HTCS GH109 PL35 Pept_MA Pept_MA SusD SusC GH88 GH154		
Bacteroides caccae FDAARGOS_1097	#48454	Predicted PUL 9	GH29 unk SusC SusD SusC SusD unk unk GH29 HTCS GH95 GH88 GH154		
Bacteroides caccae FDAARGOS_1097	#48458	Predicted PUL 13	HTCS SusC SusD unk unk GH2 GH105 SusC SusD GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146 GH182		
Bacteroides caccae FDAARGOS_1097	#48495	Predicted PUL 50	HTCS GH88 GH154 unk SusC SusD unk		
Bacteroides caccae FDAARGOS_1097	#48503	Predicted PUL 58	GH105 PL42 GH43_24 GH154 GH16_3|GH43_24 GH16_3 CBM32 SusD SusC SusD SusC HTCS GH43_34 GH97 GH51_2 GH43_19 GH35|CBM32		
Bacteroides caccae FDAARGOS_1219	#49153	Predicted PUL 28	GH182 GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 SusD SusC GH105 GH2 unk unk SusD SusC HTCS		
Bacteroides caccae FDAARGOS_1219	#49157	Predicted PUL 32	GH154 GH88 GH95 HTCS GH29 unk unk SusD SusC SusD SusC unk GH29		
Bacteroides caccae FDAARGOS_1219	#49163	Predicted PUL 38	GH154 GH88 SusC SusD Pept_MA Pept_MA PL35 GH109 HTCS		
Bacteroides caccae FDAARGOS_1219	#49168	Predicted PUL 43	GH35|CBM32 GH43_19 GH51_2 GH97 GH43_34 HTCS SusC SusD SusC SusD CBM32 GH16_3 GH16_3|GH43_24 GH154 GH43_24 PL42 GH105		
Bacteroides caccae FDAARGOS_1219	#49176	Predicted PUL 51	unk SusD SusC unk GH154 GH88 HTCS		
Bacteroides caccae H-1617	#76675	Predicted PUL 17	GH182 GH146 GH43_26|GH106 GH88 Sulf_1 unk GH154 SusD SusC GH105 GH2 unk unk SusD SusC HTCS		
Bacteroides caccae H-1617	#76679	Predicted PUL 21	GH154 GH88 GH95 HTCS GH29 unk unk SusD SusC SusD SusC unk GH29		
Bacteroides caccae H-1617	#76684	Predicted PUL 26	GH154 GH88 SusC SusD Pept_MA|CBM Pept_MA PL35 GH109 HTCS		
Bacteroides caccae H-1617	#76690	Predicted PUL 32	GH35|CBM32 GH43_19 GH51_2 GH97 GH43_34 HTCS SusC SusD SusC SusD CBM32 GH16_3 GH16_3|GH43_24 GH154 GH43_24 PL42 GH105		
Bacteroides caccae H-1617	#76698	Predicted PUL 40	unk SusD SusC unk GH154 GH88 HTCS		
Bacteroides caccae TSDC17.2	#27152	Predicted PUL 14	HTCS GH88 GH154 unk SusC SusD unk		
Bacteroides caccae TSDC17.2	#27161	Predicted PUL 23	GH105 PL42 GH43_24 GH154 GH16_3|GH43_24 GH16_3 CBM32 SusD SusC SusD SusC		
Bacteroides caccae TSDC17.2	#27168	Predicted PUL 30	GH3 HTCS GH109 PL35 Pept_MA Pept_MA SusD SusC GH88 GH154		
Bacteroides caccae TSDC17.2	#27174	Predicted PUL 36	GH29 unk SusC SusD SusC SusD unk PL GH29 HTCS GH95 GH88 GH154		
Bacteroides caccae TSDC17.2	#27180	Predicted PUL 42	HTCS unk SusC SusD unk unk GH2 GH105 SusC SusD GH154 unk Sulf_1 GH88 GH43_26|GH106 GH146 GH182		
Bacteroides caecimuris I48	#23544	Predicted PUL 3	GH35|CBM32 GH43_19 GH51_2 GH97 unk HTCS SusC SusD SusC SusD unk GH16_3 GH16_3|GH43_24 GH154 PL42 GH105		
Bacteroides cellulosilyticus BFG-250	#56044	Predicted PUL 1	GH43_24|GH35|CBM32 GH115 SusD SusC HTCS GH115 CE12 PL27 GH43_24 GH28 GH51_4 CBM35 SusD SusC HTCS GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC unk GH128 HTCS unk GH43_24|GH16_3 GH16_3 CBM32 SusD SusC SusD SusC unk HTCS GH154 unk unk unk Pept_MA SusD SusC SusC ECF-σ unk Anti-σ		
Bacteroides cellulosilyticus BFG-250	#56047	Predicted PUL 4	GH2 unk SusD SusC GH154 unk HTCS GH10|CBM48|CE		
Bacteroides cellulosilyticus BFG-371	#65744	Predicted PUL 2	GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 unk GH43_24 SusD SusC HTCS GH43_24|GH16_3 GH16_3 CBM32 SusD SusC SusD SusC unk HTCS unk GH154 unk unk SusD SusC unk unk unk unk Pept_MA SusD SusC ECF-σ unk Anti-σ		
Bacteroides cellulosilyticus BFG-371	#65747	Predicted PUL 5	unk SusD SusC GH154 unk HTCS unk GH10|CBM48|CE		
Bacteroides cellulosilyticus CL02T12C19	#16559	Predicted PUL 63	Anti-σ unk ECF-σ SusC SusD Pept_MA unk unk unk SusC SusD unk unk GH154		
Bacteroides cellulosilyticus CL02T12C19	#16560	Predicted PUL 64	HTCS unk SusC SusD SusC SusD unk GH16_3 GH43_24|GH16_3 HTCS SusC SusD GH43_24 GH154 PL42 GH105 GH43_19|GH43_34 GH97|GH43_19 GH51_2 GH51_2 GH2 GH43_17		
Bacteroides cellulosilyticus CL06T03C01	#50890	Predicted PUL 57	Anti-σ unk ECF-σ SusC SusD Pept_MA unk unk unk SusC SusD unk unk GH154 HTCS unk SusC SusD SusC SusD CBM32 GH16_3 unk GH43_24|GH16_3 HTCS SusC SusD GH43_24 GH154 PL42 GH105 GH43_19|GH43_34 GH97|GH43_19 GH51_2 GH51_2 GH2 GH43_17		
Bacteroides cellulosilyticus CL09T06C25	#56834	Predicted PUL 46	GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC HTCS GH43_24|GH16_3 unk unk GH16_3 CBM32 SusD SusC SusD SusC unk HTCS GH154 unk unk SusD SusC unk unk unk Pept_MA SusD SusC ECF-σ unk Anti-σ		
Bacteroides cellulosilyticus DSM 14838	#110	Predicted PUL 8	SusC SusD Pept_MA unk unk unk SusC SusD unk unk unk GH154 unk HTCS		
Bacteroides cellulosilyticus DSM 14838	#113	Predicted PUL 11	GH128 unk SusC SusD GH43_24 GH154 PL42 GH105 GH43_19|GH43_34 GH97|GH43_19 GH51_2 GH51_2 GH2 GH43_17		
Bacteroides cellulosilyticus PL	#70544	Predicted PUL 2	GH43_17 GH2 GH51_2 unk GH51_2 GH97 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC unk GH128 HTCS GH43_24|GH16_3 GH16_3 CBM32 SusD SusC SusD SusC unk HTCS unk GH154 unk unk SusD SusC unk unk unk Pept_MA SusD SusC ECF-σ		
Bacteroides cellulosilyticus WH2	#21556	Predicted PUL 17	GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC HTCS GH43_24|GH16_3 GH16_3 unk SusD SusC SusD SusC unk HTCS GH154 unk unk SusD SusC unk unk Pept_MA SusD SusC unk ECF-σ unk Anti-σ		
Bacteroides cellulosilyticus WH2	#21559	Predicted PUL 20	GH2 unk unk SusD SusC GH154 unk HTCS GH10|CBM48|CE		
Bacteroides cellulosilyticus WH2 (new assembly)	#28220	Predicted PUL 17	GH43_17 GH2 GH51_2 GH51_2 GH97|GH43_19 GH43_19|GH43_34 GH105 PL42 GH154 GH43_24 SusD SusC HTCS GH43_24|GH16_3 GH16_3 unk SusD SusC SusD SusC unk HTCS GH154 unk unk SusD SusC unk unk unk Pept_MA SusD SusC ECF-σ unk Anti-σ	#28108, #28109, #28110, #28111, #28112	Lite 18, Lite 19, Lite 20, Lite 21, Lite 22
Bacteroides cellulosilyticus WH2 (new assembly)	#28223	Predicted PUL 20	GH2 unk unk SusD SusC GH154 unk HTCS GH10|CBM48|CE	#28115	Lite 25
Bacteroides clarus An189	#35115	Predicted PUL 7	GH105 GH154 GH154 Sulf_1 GH43_28 Sulf_1 GH88|GH154 CE15 GH2|CBM GH GH50 unk SusD SusC CBM|CBM|CBM96 CE20|CE6 GH2 HTCS unk SusD SusC SusR		
Bacteroides clarus An43	#35070	Predicted PUL 10	SusR SusC SusD unk HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH GH2|CBM CE15 GH88|GH154 Sulf_1 GH43_28 Sulf_1 GH154 GH154 GH105		
Bacteroides clarus DSM 22519	#55358	Predicted PUL 23	SusR SusC SusD unk HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH GH2|CBM CE15 GH88|GH154 Sulf_1 GH43_28 Sulf_1 GH154 GH154 GH105		
Bacteroides clarus YIT 12056	#4017	Predicted PUL 22	SusR SusC SusD unk HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH GH2|CBM CE15 unk GH88|GH154 Sulf_1 GH43_28 Sulf_1 GH154 GH154 GH105		
Bacteroides eggerthii 1_2_48FAA	#612	Predicted PUL 15	SusR SusC SusD unk HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH GH2|CBM GH88|GH154 Sulf_1 GH43_28 Sulf_1 GH154 GH154 GH105		
Bacteroides eggerthii CL11T00C20	#50955	Predicted PUL 23	SusR SusC SusD unk HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH GH2|CBM GH88|GH154 Sulf_1 GH43_28 Sulf_1 GH154 GH154 GH105		
Bacteroides eggerthii DSM 20697	#1392	Predicted PUL 16	HTCS unk unk GH154 GH154 unk SusC SusD unk unk unk GH105		
Bacteroides eggerthii DSM 20697	#1407	Predicted PUL 31	unk unk GH105 GH154 GH154 Sulf_1 GH43_28 Sulf_1 GH88|GH154 GH2|CBM GH GH50 unk SusD SusC CBM|CBM|CBM96 CE20|CE6 GH2 HTCS unk SusD SusC SusR		
Bacteroides eggerthii DSM 20697 (new assembly)	#63619	Predicted PUL 8	GH105 GH154 GH154 Sulf_1 GH43_28 Sulf_1 GH88|GH154 GH2|CBM GH GH50 unk SusD SusC CBM|CBM|CBM96 CE20|CE6 GH2 HTCS unk SusD SusC SusR		
Bacteroides eggerthii DSM 20697 (new assembly)	#63637	Predicted PUL 26	HTCS GH154 GH154 unk SusC SusD unk unk unk GH105 unk unk GH23 unk unk unk		
Bacteroides eggerthii FDAARGOS_1221	#49258	Predicted PUL 13	SusR SusC SusD unk HTCS GH2 CE20|CE6 CBM|CBM|CBM96 SusC SusD unk GH50 GH GH2|CBM GH88|GH154 Sulf_1 GH43_28 Sulf_1 GH154 GH154 GH105		
Bacteroides eggerthii FDAARGOS_1221	#49280	Predicted PUL 35	unk unk unk GH23 unk unk GH105 unk unk unk SusD SusC unk GH154 GH154 HTCS		
Bacteroides faecis 23150	#45629	Predicted PUL 47	GH154 unk unk GH43_18 SusD SusC Anti-σ ECF-σ		
Bacteroides faecis 23150	#45636	Predicted PUL 54	GH35|CBM32 GH43_19 GH51_2 GH31_4 HTCS GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides faecis 23218	#45704	Predicted PUL 40	GH154 PL8_3 GH105 GH29 GH95 HTCS unk SusC SusD SusC SusD GH16 GH88 GH2 PL33_1 unk Sulf_1		
Bacteroides faecis 23218	#45727	Predicted PUL 63	ECF-σ Anti-σ SusC SusD GH43_18 unk unk GH154 unk unk SusC SusD GH30_6 GH130_1		
Bacteroides faecis BFG-108	#56189	Predicted PUL 13	unk SusD GH43_18 unk unk GH154 unk unk SusC SusD GH30_6 GH130_1		
Bacteroides faecis BFG-108	#56207	Predicted PUL 31	GH35|CBM32 GH43_19 GH51_2 GH31_4 HTCS GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides faecis BFG-467	#70060	Predicted PUL 12	ECF-σ Anti-σ SusC SusD GH43_18 GH43_18 unk unk GH154 unk unk SusC SusD GH30_6 GH130_1		
Bacteroides faecis BFG-467	#70073	Predicted PUL 25	GH35|CBM32 GH43_19 GH51_2 unk HTCS GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk unk unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides faecis BFG-493	#67272	Predicted PUL 15	ECF-σ Anti-σ SusC SusD GH43_18 unk unk GH154 unk unk SusC SusD GH30_6 unk GH130_1		
Bacteroides faecis BFG-493	#67284	Predicted PUL 27	GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides faecis BFG-513	#70225	Predicted PUL 10	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk GH97 HTCS GH31_4 GH51_2 GH43_19 GH35|CBM32		
Bacteroides faecis BFG-513	#70240	Predicted PUL 25	GH130_1 unk GH30_6 SusD SusC unk unk GH154		
Bacteroides faecis BFG-527	#67788	Predicted PUL 13	unk SusD GH43_18 unk unk GH154 unk unk SusC SusD GH30_6 GH130_1		
Bacteroides faecis BFG-527	#67805	Predicted PUL 30	GH35|CBM32 GH43_19 GH51_2 GH31_4 unk GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides faecis BFG-554	#69149	Predicted PUL 12	ECF-σ Anti-σ SusC SusD GH43_18 unk unk GH154 unk unk SusC SusD GH30_6 GH130_1		
Bacteroides faecis BFG-554	#69163	Predicted PUL 26	GH35|CBM32 GH43_19 GH51_2 unk HTCS GH97 unk GH127 GH43_34 unk GH154 HTCS unk SusC SusD unk unk unk GH16_3|GH43_24 GH43_24 PL42 GH105		
Bacteroides faecis BFG-624	#64973	Predicted PUL 16	unk SusD GH43_18 unk unk GH154 unk unk SusC unk SusD GH30_6 GH130_1		
Bacteroides faecis WAL8736	#71010	Predicted PUL 14	GH154 unk unk GH43_18 SusD SusC Anti-σ ECF-σ		
Bacteroides faecis WAL8736	#71058	Predicted PUL 62	GH105 PL42 GH43_24 GH16_3|GH43_24 unk SusD SusC unk HTCS GH154 unk GH43_34 GH127 unk GH97		
Bacteroides fluxus YIT 12057	#1008	Predicted PUL 24	GH154 unk unk Est GH88 SusD SusC PL35 CE6 GH95 GH unk GH110 unk unk GH89 GH84 HTCS		
Bacteroides fragilis 3_1_12	#1251	Predicted PUL 34	SusC SusD PL33_1 GH88 unk GH20 GH2 GH154		
Bacteroides fragilis 638R	#3781	Predicted PUL 3	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC	#3775	Lite 1
Bacteroides fragilis 86-5443-2-2	#61143	Predicted PUL 26	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BE1	#22710	Predicted PUL 3	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-1	#56677	Predicted PUL 3	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-13	#66237	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-14	#64652	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-16	#64032	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-167	#67494	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-17	#65910	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-18	#64813	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-23	#67022	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-300	#69281	Predicted PUL 11	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-310	#65967	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-317	#67986	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-403	#63857	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-435	#64327	Predicted PUL 13	GH154 GH2 GH20 unk unk PL33_1 SusD SusC HTCS		
Bacteroides fragilis BFG-448	#65854	Predicted PUL 12	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS		
Bacteroides fragilis BFG-480	#65105	Predicted PUL 11	GH154 GH2 GH20 GH88 unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-481	#67348	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS		
Bacteroides fragilis BFG-49	#64437	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-502	#68940	Predicted PUL 13	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-506	#69651	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-509	#65325	Predicted PUL 22	SusC SusD PL33_1 GH88 unk GH20 unk GH154		
Bacteroides fragilis BFG-518	#68218	Predicted PUL 10	GH154 unk GH20 unk GH88 PL33_1 SusD SusC HTCS		
Bacteroides fragilis BFG-525	#64593	Predicted PUL 14	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3 SusD SusC		
Bacteroides fragilis BFG-526	#69881	Predicted PUL 5	SusC SusD GH3 GH144 unk unk HTCS SusC SusD PL33_1 GH88 unk GH20 GH2 GH154		
Bacteroides fragilis BFG-536	#69946	Predicted PUL 14	GH154 unk GH20 unk GH88 PL33_1 SusD SusC unk HTCS		
Bacteroides fragilis BFG-539	#68777	Predicted PUL 10	GH154 GH2 GH20 unk GH88 PL33_1 SusD SusC HTCS unk unk GH144 GH3		
Bacteroides fragilis BFG-569	#70004	Predicted PUL 12	GH154 GH2 GH20 GH88 unk GH144 GH3 SusD SusC		
